time,value
2010-09-23 0:00:00.000,157075
2010-09-23 0:01:00.000,157075
2010-09-23 0:02:00.000,138340
2010-09-23 0:03:00.000,138340
2010-09-23 0:04:00.000,138340
2010-09-23 0:05:00.000,138340
2010-09-23 0:06:00.000,138340
2010-09-23 0:07:00.000,1187
2010-09-23 0:08:00.000,1187
2010-09-23 0:09:00.000,1187
2010-09-23 0:10:00.000,1187
2010-09-23 0:11:00.000,1187
2010-09-23 0:12:00.000,1187
2010-09-23 0:13:00.000,1187
2010-09-23 0:14:00.000,1187
2010-09-23 0:15:00.000,1187
2010-09-23 0:16:00.000,1187
2010-09-23 0:17:00.000,1187
2010-09-23 0:18:00.000,1187
2010-09-23 0:19:00.000,1187
2010-09-23 0:20:00.000,1187
2010-09-23 0:21:00.000,1187
2010-09-23 0:22:00.000,1187
2010-09-23 0:23:00.000,1187
2010-09-23 0:24:00.000,1187